iter	Passed	Remaining
0	9	4753
1	18	4687
2	29	4855
3	38	4820
4	46	4644
5	56	4633
6	66	4701
7	76	4706
8	85	4662
9	93	4564
10	101	4497
11	108	4403
12	116	4349
13	123	4278
14	130	4229
15	137	4166
16	144	4102
17	151	4044
18	157	3979
19	164	3951
20	171	3903
21	178	3880
22	185	3838
23	191	3801
24	198	3769
25	204	3730
26	211	3702
27	217	3672
28	224	3649
29	230	3618
30	237	3587
31	243	3559
32	249	3529
33	255	3504
34	262	3483
35	268	3458
36	275	3443
37	281	3421
38	287	3398
39	294	3382
40	300	3365
41	307	3349
42	313	3330
43	320	3322
44	327	3307
45	333	3294
46	340	3284
47	347	3274
48	354	3263
49	362	3259
50	369	3252
51	376	3247
52	383	3236
53	391	3232
54	398	3223
55	405	3217
56	411	3201
57	418	3192
58	425	3180
59	431	3165
60	438	3152
61	444	3137
62	450	3125
63	457	3116
64	463	3101
65	470	3093
66	477	3085
67	484	3076
68	490	3066
69	497	3056
70	505	3054
71	512	3047
72	520	3044
73	527	3037
74	535	3033
75	542	3024
76	548	3015
77	555	3003
78	561	2992
79	568	2984
80	574	2972
81	580	2960
82	587	2952
83	593	2940
84	600	2933
85	607	2926
86	615	2919
87	622	2915
88	629	2906
89	637	2903
90	643	2893
91	651	2889
92	658	2880
93	665	2875
94	672	2868
95	679	2860
96	686	2852
97	692	2841
98	701	2840
99	707	2828
100	714	2820
101	720	2810
102	726	2799
103	732	2790
104	738	2778
105	745	2770
106	751	2760
107	757	2749
108	764	2741
109	770	2731
110	777	2723
111	783	2713
112	789	2704
113	796	2697
114	802	2687
115	809	2680
116	815	2670
117	822	2661
118	828	2652
119	834	2643
120	840	2633
121	847	2624
122	852	2614
123	859	2606
124	866	2598
125	871	2588
126	878	2581
127	884	2571
128	891	2563
129	897	2554
130	903	2544
131	910	2538
132	916	2529
133	923	2522
134	929	2513
135	935	2503
136	941	2495
137	948	2487
138	955	2481
139	962	2474
140	972	2475
141	986	2486
142	996	2488
143	1008	2492
144	1016	2487
145	1023	2480
146	1029	2472
147	1036	2465
148	1042	2456
149	1049	2448
150	1055	2439
151	1061	2431
152	1064	2413
153	1070	2404
154	1076	2396
155	1083	2388
156	1090	2381
157	1096	2374
158	1103	2367
159	1110	2359
160	1116	2351
161	1123	2343
162	1129	2334
163	1136	2328
164	1142	2320
165	1148	2311
166	1155	2304
167	1161	2295
168	1168	2288
169	1174	2280
170	1181	2272
171	1187	2264
172	1193	2255
173	1201	2250
174	1207	2242
175	1213	2234
176	1220	2226
177	1226	2219
178	1233	2211
179	1239	2203
180	1245	2195
181	1252	2187
182	1258	2179
183	1265	2172
184	1271	2165
185	1277	2157
186	1284	2150
187	1291	2143
188	1298	2136
189	1304	2128
190	1311	2121
191	1318	2114
192	1324	2106
193	1330	2099
194	1336	2091
