iter	Logloss
0	0.537134758
1	0.4274800105
2	0.3508352168
3	0.3002983243
4	0.2590062644
5	0.2334018457
6	0.2154748513
7	0.2001039602
8	0.1891401487
9	0.1798933191
10	0.1732684102
11	0.1686503324
12	0.1646229571
13	0.1613961933
14	0.1589377433
15	0.1573438849
16	0.1556259213
17	0.1547346569
18	0.1536261425
19	0.1527773236
20	0.1521941493
21	0.1516167372
22	0.1511562664
23	0.1507757627
24	0.1503952531
25	0.1502213871
26	0.1499693189
27	0.1497629653
28	0.1495968305
29	0.1493777632
30	0.1492385552
31	0.149175756
32	0.1490851626
33	0.1489926309
34	0.1489306697
35	0.1488511139
36	0.1487329513
37	0.1486785234
38	0.1486137279
39	0.1485574148
40	0.1485001483
41	0.1484434628
42	0.1483979976
43	0.1483460317
44	0.148315055
45	0.1482798509
46	0.1482491949
47	0.1482184106
48	0.1482081933
49	0.1481848146
50	0.1481630853
51	0.1481371111
52	0.1481200864
53	0.1481091438
54	0.1480871668
55	0.1480577132
56	0.1480455836
57	0.1480288124
58	0.1480153981
59	0.1479983381
60	0.1479799651
61	0.1479606413
62	0.1479460247
63	0.1479383865
64	0.1479247453
65	0.1479154616
66	0.1478992992
67	0.1478837257
68	0.1478744901
69	0.1478670284
70	0.1478580923
71	0.1478480212
72	0.1478417205
73	0.1478345129
74	0.1478246652
75	0.1478148606
76	0.1477938139
77	0.1477820595
78	0.1477755754
79	0.1477616144
80	0.1477548562
81	0.147748986
82	0.1477387233
83	0.1477267774
84	0.1477189759
85	0.1477066987
86	0.1477029975
87	0.1476916071
88	0.147682999
89	0.1476745441
90	0.1476685899
91	0.1476623013
92	0.1476586606
93	0.1476515265
94	0.1476432279
95	0.1476368569
96	0.1476263589
97	0.147612092
98	0.1476043676
99	0.1475984604
100	0.1475938186
101	0.1475791748
102	0.1475735983
103	0.1475667524
104	0.1475602804
105	0.1475537176
106	0.1475476021
107	0.1475355702
108	0.1475270508
109	0.1475216276
110	0.1475174978
111	0.1475084549
112	0.1475011747
113	0.1474978366
114	0.1474931841
115	0.1474893103
116	0.147482934
117	0.1474766895
118	0.1474695473
119	0.1474649343
120	0.1474571883
121	0.1474547123
122	0.1474447338
123	0.1474402431
124	0.1474292731
125	0.1474177825
126	0.1474120177
127	0.1474033388
128	0.1473970243
129	0.1473915714
130	0.1473852816
131	0.1473748394
132	0.1473686287
133	0.1473598353
134	0.1473540539
135	0.1473482763
136	0.147343268
137	0.1473389676
138	0.1473334044
139	0.1473269496
140	0.1473202533
141	0.1473146579
142	0.1473101854
143	0.1473043393
144	0.1472973391
145	0.1472889424
146	0.1472843787
147	0.1472787542
148	0.1472729342
149	0.1472681704
150	0.1472646281
151	0.1472599426
152	0.1472515172
153	0.1472479165
154	0.1472408667
155	0.1472367272
156	0.1472297775
157	0.1472171608
158	0.1472099976
159	0.1472046369
160	0.1471988836
161	0.1471955296
162	0.1471913693
163	0.1471806107
164	0.1471773271
165	0.1471719866
166	0.147166342
167	0.1471627486
168	0.1471580991
169	0.1471522977
170	0.1471478746
171	0.1471447911
172	0.1471416348
173	0.1471362981
174	0.1471332239
175	0.1471277453
176	0.1471230706
177	0.1471206353
178	0.1471158723
179	0.1471118035
180	0.147108738
181	0.147104256
182	0.1471007538
183	0.1470986448
184	0.1470948845
185	0.1470909392
186	0.1470886847
187	0.14708183
188	0.1470779721
189	0.1470737839
190	0.1470690496
191	0.1470646557
192	0.1470607652
193	0.147057143
194	0.147050544
195	0.1470476447
196	0.1470434591
197	0.1470385501
198	0.1470362472
199	0.1470271302
200	0.1470237414
201	0.1470207355
202	0.1470180065
203	0.1470096086
204	0.1470035837
205	0.146999546
206	0.1469958716
207	0.1469934213
208	0.1469872295
209	0.1469820919
210	0.1469763023
211	0.1469736087
212	0.1469694092
213	0.1469643726
214	0.1469592831
215	0.1469559632
216	0.1469521605
217	0.1469498869
218	0.1469459104
219	0.1469424914
220	0.146939844
221	0.1469352447
222	0.1469306876
223	0.1469269051
224	0.1469216954
225	0.1469187918
226	0.1469152224
227	0.146912911
228	0.1469089622
229	0.1469058582
230	0.1469029928
231	0.1468987981
232	0.1468955555
233	0.1468932559
234	0.1468896109
235	0.1468803992
236	0.1468775426
237	0.1468754807
238	0.1468736679
239	0.1468710037
240	0.146866403
241	0.1468630836
242	0.1468592326
243	0.1468558853
244	0.1468531313
245	0.1468481147
246	0.1468462136
247	0.1468424526
248	0.1468390464
249	0.1468348195
250	0.1468325245
251	0.1468286541
252	0.1468264097
253	0.1468194415
254	0.1468163023
255	0.1468137143
256	0.1468114984
257	0.1468071618
258	0.1468050293
259	0.1468025787
260	0.1467949487
261	0.1467886498
262	0.1467857731
263	0.1467813276
264	0.1467750102
265	0.1467723269
266	0.1467699438
267	0.1467640421
268	0.1467617191
269	0.1467594568
270	0.1467555498
271	0.1467525056
272	0.146750516
273	0.1467482909
274	0.146745376
275	0.1467405679
276	0.1467333596
277	0.1467277117
278	0.1467245026
279	0.1467210856
280	0.1467147539
281	0.1467100788
282	0.1467077522
283	0.1467043191
284	0.1467009613
285	0.1466984809
286	0.1466926996
287	0.1466879154
288	0.1466835669
289	0.1466808872
290	0.1466751304
291	0.1466721908
292	0.1466692199
293	0.1466665958
294	0.1466646344
295	0.1466626815
296	0.1466598931
297	0.1466579413
298	0.1466546113
299	0.146648616
300	0.1466463546
301	0.1466430699
302	0.1466401934
303	0.1466385144
304	0.1466373014
305	0.146634747
306	0.1466331074
307	0.1466288604
308	0.1466271128
309	0.1466239115
310	0.1466207938
311	0.1466173796
312	0.1466143328
313	0.1466122188
314	0.1466076097
315	0.1466040927
316	0.1466006741
317	0.1465974995
318	0.1465928605
319	0.1465897372
320	0.1465859936
321	0.1465817844
322	0.1465783565
323	0.1465748344
324	0.1465670438
325	0.1465638145
326	0.1465625796
327	0.1465595428
328	0.1465561054
329	0.1465514369
330	0.1465486077
331	0.1465462948
332	0.146543702
333	0.1465410331
334	0.1465382699
335	0.1465353054
336	0.1465276575
337	0.1465248719
338	0.146520437
339	0.1465186129
340	0.1465145444
341	0.1465120561
342	0.1465088616
343	0.1465062912
344	0.1465043733
345	0.1465025118
346	0.1464962703
347	0.146493961
348	0.1464918475
349	0.1464869084
350	0.1464821682
351	0.146476444
352	0.1464729768
353	0.1464689844
354	0.1464649744
355	0.1464614624
356	0.1464590341
357	0.1464564902
358	0.1464536966
359	0.146450785
360	0.1464479123
361	0.1464449309
362	0.1464425238
363	0.1464397583
364	0.1464375313
365	0.1464352563
366	0.1464318701
367	0.1464268585
368	0.1464230822
369	0.1464198086
370	0.1464164369
371	0.1464131134
372	0.1464083701
373	0.1464047358
374	0.1463998876
375	0.1463964406
376	0.1463918818
377	0.1463899289
378	0.1463847453
379	0.1463819513
380	0.1463797831
381	0.1463782296
382	0.1463762613
383	0.1463698088
384	0.1463670884
385	0.1463625403
386	0.1463578423
387	0.1463547766
388	0.1463522621
389	0.1463484
390	0.1463442261
391	0.1463419797
392	0.1463385827
393	0.1463347724
394	0.1463330163
395	0.1463301417
396	0.146328695
397	0.1463252649
398	0.1463218178
399	0.1463182068
400	0.1463140262
401	0.1463092869
402	0.1463064426
403	0.1463045892
404	0.1463009301
405	0.1462977441
406	0.1462950395
407	0.1462931004
408	0.1462902813
409	0.1462877172
410	0.1462863252
411	0.1462830901
412	0.1462802902
413	0.1462783531
414	0.1462761978
415	0.146272181
416	0.1462701328
417	0.1462664309
418	0.1462643571
419	0.1462614896
420	0.1462582057
421	0.1462508039
422	0.1462490486
423	0.1462418438
424	0.1462396222
425	0.1462364641
426	0.1462342874
427	0.1462311741
428	0.1462290473
429	0.1462267069
430	0.1462248012
431	0.1462215158
432	0.1462192566
433	0.1462166772
434	0.1462151371
435	0.1462112569
436	0.1462073455
437	0.1462046012
438	0.1462013394
439	0.1461986433
440	0.1461942267
441	0.1461925723
442	0.1461886791
443	0.1461856887
444	0.1461835823
445	0.14618037
446	0.1461779816
447	0.1461765667
448	0.1461749784
449	0.1461720226
450	0.1461692292
451	0.1461664246
452	0.1461654212
453	0.1461611034
454	0.146159394
455	0.1461581871
456	0.1461556247
457	0.1461539021
458	0.146151447
459	0.1461456886
460	0.1461428822
461	0.1461395914
462	0.1461341473
463	0.1461322491
464	0.1461300353
465	0.1461276502
466	0.1461238592
467	0.1461210177
468	0.1461178656
469	0.1461161742
470	0.1461150123
471	0.1461108347
472	0.1461090999
473	0.146106151
474	0.146103612
475	0.1461001697
476	0.1460970433
477	0.146092807
478	0.1460903944
479	0.1460851606
480	0.1460825418
481	0.1460794822
482	0.1460753874
483	0.1460724155
484	0.1460706511
485	0.1460655237
486	0.1460632102
487	0.1460606905
488	0.1460569203
489	0.1460554897
490	0.1460524592
491	0.146049288
492	0.1460441252
493	0.1460394491
494	0.1460359381
495	0.1460348374
496	0.1460316983
497	0.1460295665
498	0.1460279307
499	0.1460258572
