iter	Passed	Remaining
0	169	169621
1	184	91971
2	200	66680
3	216	53980
4	230	45850
5	244	40588
6	258	36670
7	272	33825
8	286	31590
9	301	29850
10	314	28246
11	328	27021
12	342	26030
13	355	25065
14	368	24218
15	381	23435
16	392	22681
17	403	22032
18	415	21450
19	428	20973
20	440	20547
21	452	20128
22	464	19735
23	476	19378
24	489	19092
25	500	18755
26	512	18480
27	524	18211
28	534	17898
29	546	17671
30	558	17446
31	570	17254
32	582	17064
33	594	16882
34	605	16686
35	616	16517
36	629	16387
37	641	16239
38	653	16095
39	665	15974
40	676	15828
41	689	15719
42	701	15615
43	713	15503
44	724	15384
45	738	15311
46	750	15213
47	759	15071
48	771	14978
49	783	14895
50	795	14803
51	807	14723
52	820	14658
53	830	14554
54	843	14493
55	855	14419
56	867	14355
57	879	14281
58	892	14227
59	903	14155
60	915	14094
61	927	14024
62	940	13983
63	953	13947
64	967	13911
65	980	13870
66	993	13831
67	1005	13782
68	1017	13735
69	1030	13694
70	1042	13641
71	1055	13607
72	1068	13570
73	1081	13529
74	1092	13473
75	1104	13429
76	1116	13387
77	1129	13350
78	1141	13311
79	1153	13260
80	1164	13211
81	1175	13159
82	1187	13116
83	1199	13077
84	1210	13033
85	1222	12989
86	1234	12954
87	1245	12908
88	1257	12870
89	1269	12839
90	1281	12797
91	1292	12760
92	1304	12726
93	1315	12680
94	1328	12653
95	1339	12617
96	1350	12574
97	1363	12546
98	1374	12512
99	1386	12478
100	1398	12451
101	1410	12416
102	1422	12386
103	1433	12353
104	1445	12322
105	1457	12290
106	1468	12258
107	1481	12234
108	1492	12203
109	1504	12169
110	1516	12145
111	1530	12131
112	1542	12107
113	1554	12079
114	1565	12049
115	1577	12018
116	1588	11992
117	1600	11961
118	1612	11938
119	1624	11916
120	1635	11883
121	1647	11859
122	1659	11830
123	1670	11803
124	1683	11783
125	1695	11759
126	1707	11736
127	1718	11707
128	1730	11681
129	1741	11654
130	1752	11627
131	1763	11598
132	1775	11575
133	1788	11556
134	1799	11532
135	1811	11508
136	1823	11487
137	1835	11464
138	1846	11440
139	1858	11417
140	1870	11397
141	1882	11372
142	1894	11351
143	1905	11327
144	1917	11307
145	1932	11301
146	1945	11287
147	1956	11263
148	1968	11244
149	1981	11226
150	1992	11203
151	2004	11185
152	2017	11166
153	2027	11140
154	2040	11122
155	2053	11109
156	2066	11093
157	2077	11072
158	2089	11051
159	2101	11033
160	2112	11010
161	2124	10991
162	2137	10974
163	2148	10954
164	2160	10932
165	2172	10917
166	2184	10895
167	2196	10878
168	2208	10860
169	2219	10837
170	2231	10820
171	2244	10804
172	2255	10779
173	2266	10760
174	2278	10740
175	2290	10725
176	2302	10706
177	2314	10687
178	2327	10674
179	2338	10655
180	2350	10635
181	2362	10617
182	2373	10596
183	2385	10577
184	2396	10557
185	2408	10538
186	2422	10534
187	2436	10525
188	2450	10513
189	2464	10505
190	2476	10489
191	2489	10474
192	2500	10457
193	2513	10444
194	2525	10424
195	2537	10407
196	2549	10393
197	2562	10381
198	2574	10362
199	2587	10349
200	2599	10332
201	2610	10314
202	2622	10295
203	2634	10278
204	2646	10262
205	2657	10244
206	2669	10227
207	2680	10208
208	2694	10199
209	2707	10183
210	2719	10170
211	2732	10156
212	2744	10141
213	2757	10127
214	2769	10110
215	2780	10093
216	2793	10078
217	2804	10060
218	2816	10043
219	2829	10032
220	2842	10018
221	2853	10000
222	2865	9985
223	2876	9965
224	2889	9951
225	2901	9937
226	2913	9922
227	2926	9909
228	2938	9891
229	2951	9879
230	2964	9867
231	2976	9852
232	2988	9838
233	3001	9824
234	3012	9807
235	3024	9791
236	3036	9775
237	3048	9760
238	3062	9750
239	3074	9735
240	3087	9722
241	3098	9706
242	3113	9698
243	3125	9683
244	3137	9669
245	3150	9655
246	3162	9641
247	3174	9625
248	3187	9613
249	3200	9600
250	3213	9589
251	3226	9578
252	3239	9566
253	3254	9557
254	3267	9547
255	3281	9536
256	3295	9527
257	3308	9515
258	3323	9507
259	3336	9497
260	3352	9492
261	3365	9480
262	3378	9468
263	3392	9456
264	3405	9445
265	3418	9433
266	3432	9422
267	3445	9409
268	3458	9398
269	3471	9386
270	3485	9376
271	3499	9366
272	3513	9356
273	3527	9345
274	3540	9333
275	3554	9324
276	3567	9311
277	3579	9297
278	3593	9285
279	3606	9272
280	3618	9259
281	3631	9246
282	3645	9235
283	3658	9223
284	3671	9210
285	3684	9198
286	3699	9191
287	3712	9178
288	3725	9166
289	3738	9153
290	3752	9142
291	3765	9131
292	3779	9120
293	3793	9109
294	3806	9095
295	3819	9084
296	3834	9075
297	3847	9064
298	3859	9049
299	3873	9037
300	3886	9025
301	3899	9013
