iter	Passed	Remaining
0	2	2544
1	4	2387
2	7	2362
3	9	2314
4	11	2296
5	13	2272
6	15	2259
7	18	2242
8	20	2240
9	22	2234
10	24	2216
11	26	2204
12	28	2194
13	30	2181
14	33	2184
15	35	2199
16	38	2208
17	40	2216
18	42	2204
19	44	2201
20	47	2197
21	49	2210
22	52	2222
23	54	2210
24	56	2211
25	58	2190
26	60	2172
27	62	2161
28	64	2160
29	66	2155
30	68	2144
31	70	2121
32	72	2114
33	73	2102
34	75	2089
35	77	2082
36	79	2077
37	82	2090
38	84	2089
39	87	2093
40	88	2080
41	90	2074
42	91	2046
43	93	2038
44	95	2024
45	98	2035
46	100	2028
47	102	2024
48	103	2016
49	105	2006
50	107	1997
51	109	1991
52	111	1988
53	113	1986
54	115	1989
55	117	1988
56	119	1983
57	120	1960
58	121	1941
59	123	1936
60	125	1933
61	127	1931
62	130	1935
63	131	1930
64	134	1930
65	136	1925
66	137	1909
67	139	1906
68	140	1901
69	142	1894
70	145	1897
71	147	1895
72	149	1894
73	151	1897
74	153	1894
75	155	1888
76	157	1883
77	158	1874
78	161	1880
79	163	1876
80	164	1871
81	167	1872
82	168	1866
83	170	1861
84	172	1858
85	174	1856
86	177	1860
87	179	1857
88	181	1854
89	183	1854
90	185	1850
91	186	1845
92	188	1842
93	190	1836
94	192	1831
95	193	1823
96	195	1819
97	197	1821
98	200	1821
99	202	1819
100	203	1812
101	205	1809
102	208	1812
103	210	1812
104	212	1811
105	214	1810
106	216	1806
107	218	1802
108	220	1803
109	222	1801
110	224	1797
111	226	1793
112	228	1792
113	230	1790
114	232	1786
115	233	1782
116	236	1781
117	237	1778
118	240	1782
119	243	1783
120	245	1782
121	247	1777
122	248	1770
123	250	1770
124	252	1767
125	254	1766
126	257	1767
127	259	1768
128	261	1766
129	263	1762
130	265	1760
131	267	1756
132	268	1752
133	270	1750
134	272	1749
135	274	1745
136	276	1741
137	278	1739
138	279	1730
139	281	1726
140	282	1724
141	284	1721
142	287	1720
143	289	1719
144	290	1715
145	292	1713
146	294	1711
147	296	1708
148	298	1705
149	299	1699
150	300	1692
151	303	1691
152	304	1688
153	306	1685
154	308	1682
155	310	1678
156	312	1676
157	314	1673
158	314	1665
159	316	1663
160	319	1663
161	321	1662
162	323	1659
163	324	1656
164	326	1653
165	328	1650
166	330	1648
167	332	1645
168	335	1648
169	337	1647
170	339	1644
171	341	1642
172	343	1640
173	345	1639
174	346	1635
175	348	1632
176	351	1633
177	353	1631
178	355	1629
179	357	1628
180	359	1626
181	361	1623
182	362	1617
183	363	1614
184	365	1608
185	367	1609
186	369	1606
187	371	1602
188	373	1601
189	375	1598
190	377	1597
191	378	1594
192	380	1592
193	383	1592
194	384	1588
195	386	1587
196	389	1586
197	391	1584
198	393	1582
199	394	1579
200	396	1578
201	398	1573
202	400	1573
203	402	1572
204	404	1569
205	406	1567
206	408	1565
207	410	1563
208	412	1560
209	414	1559
210	416	1557
211	418	1554
212	420	1552
213	422	1551
214	424	1548
215	425	1546
216	427	1543
217	429	1540
218	431	1540
219	433	1537
220	434	1531
221	436	1528
222	438	1526
223	439	1523
224	441	1520
225	443	1518
226	445	1515
227	447	1513
228	449	1511
229	450	1506
230	451	1504
231	453	1500
232	454	1497
233	456	1494
234	458	1491
235	460	1489
236	462	1489
237	464	1487
238	466	1485
239	468	1483
240	470	1480
241	471	1475
242	472	1471
243	473	1468
244	475	1465
245	476	1461
246	479	1461
247	481	1458
248	483	1457
249	485	1455
250	486	1451
251	488	1448
252	490	1446
253	492	1446
254	495	1446
255	497	1445
256	499	1443
257	501	1442
258	503	1439
259	504	1436
260	506	1434
261	508	1431
262	510	1430
263	513	1430
264	515	1429
265	516	1424
266	518	1422
267	519	1418
268	520	1414
269	522	1412
270	524	1410
271	526	1409
272	528	1407
273	530	1405
274	532	1402
275	533	1400
276	535	1398
277	537	1395
278	538	1391
279	540	1389
280	542	1387
281	543	1384
282	545	1381
283	547	1380
284	549	1377
285	550	1375
286	552	1373
287	554	1371
288	556	1369
289	558	1367
290	560	1365
291	562	1363
292	563	1360
293	565	1358
294	567	1356
295	568	1352
296	570	1351
297	572	1348
298	574	1347
299	576	1345
300	578	1343
301	580	1341
302	582	1339
303	584	1337
304	585	1334
305	587	1333
306	590	1332
307	592	1331
308	594	1330
309	595	1326
310	597	1323
311	599	1321
312	600	1318
313	602	1316
314	604	1314
315	606	1312
316	607	1309
317	609	1307
318	611	1304
319	612	1302
320	614	1299
321	615	1296
322	617	1294
323	619	1292
324	621	1291
325	623	1289
326	624	1285
327	626	1284
328	628	1282
329	630	1280
330	632	1278
331	634	1277
332	637	1276
333	640	1276
334	642	1274
335	644	1274
336	647	1273
337	650	1273
338	652	1271
339	654	1270
340	656	1268
341	658	1266
342	660	1264
343	661	1262
344	663	1260
345	665	1258
346	667	1255
347	668	1253
348	670	1251
349	672	1249
350	674	1247
351	676	1245
352	677	1242
353	679	1240
354	681	1238
355	683	1235
356	684	1233
357	686	1231
358	688	1229
359	690	1227
360	692	1225
361	694	1224
362	696	1222
363	698	1220
364	700	1218
365	702	1216
366	703	1214
367	705	1212
368	707	1210
369	709	1208
370	710	1204
371	712	1202
372	714	1200
373	715	1198
374	718	1196
375	720	1195
376	722	1193
377	723	1190
378	725	1188
379	727	1186
380	729	1184
381	730	1182
382	732	1180
383	734	1178
384	736	1176
385	739	1175
386	741	1174
387	742	1171
388	744	1169
389	745	1166
390	747	1164
391	750	1163
392	752	1161
393	754	1159
394	756	1158
395	759	1157
396	761	1156
397	763	1154
398	763	1150
399	766	1149
400	768	1147
401	769	1145
402	771	1143
403	773	1141
404	774	1137
405	776	1135
406	778	1133
407	780	1131
408	782	1130
409	784	1128
410	786	1126
411	787	1124
412	789	1122
413	791	1120
414	793	1117
415	795	1116
416	796	1114
417	799	1113
418	801	1110
419	803	1108
420	805	1107
421	806	1105
422	808	1103
423	810	1101
424	812	1099
425	814	1097
426	816	1095
427	818	1093
428	820	1091
429	822	1089
430	823	1087
431	825	1085
432	826	1082
433	828	1080
434	830	1079
435	832	1077
436	834	1075
437	836	1073
438	838	1071
439	840	1070
440	841	1067
441	843	1065
442	846	1063
443	848	1062
444	850	1061
445	852	1058
446	854	1056
447	856	1055
448	858	1052
449	859	1051
450	862	1050
451	865	1048
452	866	1046
453	869	1045
454	871	1043
455	872	1041
456	874	1038
457	876	1036
458	878	1035
459	880	1033
460	882	1032
461	884	1030
462	887	1029
463	889	1027
464	891	1025
465	893	1024
466	896	1022
467	898	1021
468	900	1019
469	903	1018
470	906	1018
471	909	1017
472	912	1017
473	916	1016
474	919	1015
475	921	1014
476	924	1013
477	927	1013
478	930	1011
479	932	1010
480	935	1009
481	937	1007
482	940	1006
483	943	1005
484	945	1004
485	948	1003
486	950	1001
487	953	1000
488	957	1000
489	959	999
490	963	998
491	965	996
492	968	995
493	970	994
494	974	993
495	977	993
496	979	991
497	982	990
498	985	989
499	988	988
500	992	988
501	994	986
502	998	986
503	1001	985
504	1005	985
505	1008	984
506	1011	983
507	1014	982
508	1017	981
509	1021	981
510	1023	979
511	1026	978
512	1030	977
513	1032	976
514	1036	975
515	1039	975
516	1044	975
517	1049	976
518	1054	976
519	1058	977
520	1064	978
521	1069	979
522	1075	980
523	1078	979
524	1083	980
525	1086	979
526	1089	978
527	1092	976
528	1094	974
529	1097	973
530	1100	971
531	1102	970
532	1105	968
533	1107	966
534	1109	964
535	1112	962
536	1115	961
537	1117	959
538	1120	958
539	1122	956
540	1125	954
541	1127	952
542	1130	951
543	1133	949
544	1135	948
545	1138	946
546	1140	944
547	1143	943
548	1146	941
549	1149	940
550	1152	939
551	1155	937
552	1157	935
553	1159	933
554	1162	931
555	1165	930
556	1168	929
557	1170	927
558	1172	925
559	1175	923
560	1178	921
561	1180	920
562	1183	918
563	1186	916
564	1188	915
565	1191	913
566	1194	911
567	1196	910
568	1199	908
569	1202	907
570	1204	905
571	1207	903
572	1209	901
573	1212	899
574	1214	897
575	1217	896
576	1219	894
577	1222	892
578	1225	890
579	1227	889
580	1230	887
581	1232	885
582	1235	883
583	1237	881
584	1240	879
585	1243	878
586	1245	876
587	1247	874
588	1249	872
589	1252	870
590	1254	868
591	1257	866
592	1259	864
593	1261	862
594	1263	860
595	1266	858
596	1268	856
597	1270	854
598	1273	852
599	1276	850
600	1278	848
601	1280	846
602	1282	844
603	1284	842
604	1286	839
605	1288	837
606	1291	835
607	1293	833
608	1295	832
609	1297	829
610	1299	827
611	1301	825
612	1304	823
613	1306	821
614	1309	819
615	1311	817
616	1313	815
617	1316	813
618	1319	811
619	1322	810
620	1326	809
621	1329	807
622	1331	805
623	1334	804
624	1338	802
625	1341	801
626	1344	799
627	1347	798
628	1349	796
629	1353	794
630	1355	792
631	1358	791
632	1361	789
633	1364	787
634	1368	786
635	1372	785
636	1376	784
637	1379	782
638	1383	781
639	1388	780
640	1392	779
641	1395	778
642	1398	776
643	1402	775
644	1406	774
645	1409	772
646	1413	770
647	1416	769
648	1421	768
649	1424	767
650	1428	765
651	1431	764
652	1434	762
653	1437	760
654	1440	758
655	1443	757
656	1446	755
657	1449	753
658	1452	751
659	1456	750
660	1459	748
661	1462	746
662	1465	745
663	1469	743
664	1472	741
665	1475	739
666	1477	737
667	1481	736
668	1485	734
669	1488	733
670	1491	731
671	1495	729
672	1499	728
673	1502	726
674	1506	725
675	1509	723
676	1513	721
677	1516	720
678	1520	718
679	1523	717
680	1529	716
681	1533	715
682	1537	713
683	1541	712
684	1547	711
685	1551	709
686	1554	708
687	1558	706
688	1561	704
689	1565	703
690	1567	701
691	1570	698
692	1573	696
693	1576	695
694	1579	693
695	1583	691
696	1585	689
697	1588	687
698	1591	685
699	1594	683
700	1596	680
701	1598	678
702	1601	676
703	1604	674
704	1608	672
705	1611	671
706	1615	669
707	1618	667
708	1620	665
709	1624	663
710	1627	661
711	1629	659
712	1632	657
713	1635	655
714	1639	653
715	1642	651
716	1646	649
717	1650	648
718	1654	646
719	1658	644
720	1661	643
721	1664	641
722	1668	639
723	1673	637
724	1676	636
725	1680	634
726	1684	632
727	1688	630
728	1693	629
729	1697	627
730	1702	626
731	1707	625
732	1712	623
733	1716	622
734	1721	620
735	1726	619
736	1730	617
737	1736	616
738	1741	615
739	1745	613
740	1751	612
741	1756	610
742	1760	608
743	1766	607
744	1770	605
745	1774	604
746	1779	602
747	1784	601
748	1788	599
749	1794	598
750	1799	596
751	1804	595
752	1809	593
753	1814	591
754	1818	590
755	1822	588
756	1827	586
757	1832	585
758	1837	583
759	1841	581
760	1846	580
761	1852	578
762	1857	576
763	1862	575
764	1866	573
765	1870	571
766	1875	569
767	1880	568
768	1885	566
769	1891	564
770	1897	563
771	1902	561
772	1907	560
773	1912	558
774	1916	556
775	1921	554
776	1926	552
777	1931	551
778	1935	549
779	1940	547
780	1945	545
781	1949	543
782	1954	541
783	1959	539
784	1963	537
785	1969	536
786	1974	534
787	1979	532
788	1984	530
789	1989	528
790	1994	526
791	1998	524
792	2004	523
793	2010	521
794	2015	519
795	2022	518
796	2028	516
797	2033	514
798	2039	512
799	2043	510
800	2049	509
801	2055	507
802	2060	505
803	2064	503
804	2069	501
805	2074	499
806	2078	497
807	2084	495
808	2089	493
809	2093	491
810	2098	489
811	2103	487
812	2107	484
813	2111	482
814	2116	480
815	2120	478
816	2125	476
817	2131	474
818	2136	472
819	2142	470
820	2148	468
821	2153	466
822	2158	464
823	2164	462
824	2168	460
825	2173	457
826	2177	455
827	2181	453
828	2185	450
829	2190	448
830	2195	446
831	2200	444
832	2204	442
833	2209	439
834	2214	437
835	2219	435
836	2224	433
837	2229	430
838	2234	428
839	2239	426
840	2245	424
841	2250	422
842	2256	420
843	2261	418
844	2266	415
845	2272	413
846	2276	411
847	2279	408
848	2281	405
849	2283	403
850	2286	400
851	2288	397
852	2290	394
853	2293	392
854	2295	389
855	2297	386
856	2300	383
857	2303	381
858	2305	378
859	2307	375
860	2309	372
861	2311	370
862	2313	367
863	2315	364
864	2317	361
865	2320	359
866	2322	356
867	2325	353
868	2328	351
869	2331	348
870	2335	345
871	2339	343
872	2342	340
873	2345	338
874	2346	335
875	2348	332
876	2352	329
877	2356	327
878	2359	324
879	2363	322
880	2367	319
881	2371	317
882	2375	314
883	2378	312
884	2382	309
885	2386	307
886	2391	304
887	2394	302
888	2399	299
889	2403	297
890	2407	294
891	2410	291
892	2414	289
893	2419	286
894	2423	284
895	2426	281
896	2430	279
897	2435	276
898	2439	274
899	2444	271
900	2448	269
901	2452	266
902	2456	263
903	2459	261
904	2464	258
905	2468	256
906	2472	253
907	2475	250
908	2480	248
909	2485	245
910	2489	243
911	2494	240
912	2498	238
913	2504	235
914	2508	233
915	2513	230
916	2518	227
917	2522	225
918	2525	222
919	2530	220
920	2534	217
921	2537	214
922	2540	211
923	2543	209
924	2547	206
925	2550	203
926	2553	201
927	2555	198
928	2558	195
929	2561	192
930	2564	190
931	2566	187
932	2569	184
933	2572	181
934	2575	179
935	2579	176
936	2582	173
937	2585	170
938	2589	168
939	2593	165
940	2597	162
941	2600	160
942	2604	157
943	2608	154
944	2612	152
945	2615	149
946	2619	146
947	2623	143
948	2627	141
949	2631	138
950	2635	135
951	2639	133
952	2643	130
953	2646	127
954	2650	124
955	2655	122
956	2661	119
957	2666	116
958	2670	114
959	2674	111
960	2677	108
961	2680	105
962	2683	103
963	2687	100
964	2690	97
965	2694	94
966	2697	92
967	2701	89
968	2705	86
969	2710	83
970	2714	81
971	2720	78
972	2725	75
973	2730	72
974	2736	70
975	2741	67
976	2746	64
977	2751	61
978	2756	59
979	2762	56
980	2768	53
981	2773	50
982	2778	48
983	2783	45
984	2789	42
985	2794	39
986	2799	36
987	2805	34
988	2809	31
989	2814	28
990	2819	25
991	2824	22
992	2828	19
993	2833	17
994	2839	14
995	2843	11
996	2848	8
997	2852	5
998	2855	2
999	2859	0
